Ground Speed,Steering Angle,Throttle Pos,Brake Pos,CG Accel Lateral,CG Accel Longitudinal,total_g,throttle_jerk,brake_jerk,steer_speed,avg_slip_rear,avg_slip_front,target_score
28.22,-48.1,100.0,0.0,0.158,0.873,0.887182619306758,0.0,0.0,107.0,0.315,0.6950000000000001,63.63636363636363
30.1,-53.7,100.0,0.0,0.187,0.9,0.9192219536107697,0.0,0.0,96.00000000000034,0.495,0.8200000000000001,63.63636363636363
31.46,-57.7,100.0,0.0,0.211,0.92,0.9438861160118842,0.0,0.0,98.99999999999966,0.585,0.955,63.63636363636363
33.45,-63.6,100.0,0.0,0.243,0.942,0.9728376020693279,0.0,0.0,91.99999999999977,0.735,1.145,63.63636363636363
34.76,-66.9,100.0,0.0,0.265,0.95,0.9862682190966107,0.0,0.0,49.000000000000114,0.855,1.26,63.63636363636363
36.18,-68.5,100.0,0.0,0.283,0.954,0.9950904481503176,0.0,0.0,33.0,1.03,1.355,63.63636363636363
38.22,-70.2,100.0,0.0,0.309,0.963,1.0113604698622543,0.0,0.0,13.000000000000114,1.3250000000000002,1.4849999999999999,63.63636363636363
39.66,-69.8,100.0,0.0,0.319,0.956,1.007817939907799,23.40000000000009,0.0,9.000000000000114,1.56,1.5350000000000001,65.0914850914851
41.56,-69.3,97.66,0.0,0.329,0.927,0.9836513610014476,238.2999999999953,0.0,10.999999999999773,1.93,1.7249999999999999,67.92276792276792
42.94,-68.7,76.17,0.0,0.351,0.92,0.9846831977849526,837.8000000000027,0.0,36.00000000000023,2.21,1.905,70.75405075405075
44.8,-65.7,13.88,0.0,0.514,0.765,0.9216403853998586,761.7000000000028,0.0,52.00000000000023,2.245,1.895,73.58533358533357
45.39,-63.5,0.0,0.0,0.553,0.088,0.5599580341418453,138.8000000000005,0.0,62.00000000000023,1.93,1.565,76.41661641661639
45.15,-59.5,0.0,0.0,0.454,-0.167,0.4837406329842471,0.0,0.0,67.00000000000034,1.755,1.185,79.24789924789923
44.84,-56.8,0.0,0.0,0.458,-0.022,0.45852807983808364,0.0,95.1999999999978,32.00000000000034,1.9249999999999998,1.12,82.07918207918205
45.13,-56.3,0.0,9.52,0.226,1.075,1.098499431042183,0.0,118.9999999999981,3.000000000000341,2.165,1.135,84.91046491046488
46.18,-57.1,0.0,11.9,0.577,-0.111,0.5875797818169036,0.0,27.80000000000011,7.000000000000114,2.415,1.3599999999999999,87.7417477417477
45.79,-57.0,0.0,12.3,0.526,-0.297,0.6040571165047226,0.0,71.40000000000023,8.000000000000114,2.2350000000000003,1.19,90.57303057303054
